Bio-Rad 2014-10-02 21hr 29min01,,,,,,,,,,,,,,
Lane 1,,,,,,,,,,,,,,
Band No.,Band Label,Mol. Wt. (KDa),Relative Front,Volume (Int),Abs. Quant.,Rel. Quant.,Band %,Lane %,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Lane 2,,,,,,,,,,,,,,
Band No.,Band Label,Mol. Wt. (KDa),Relative Front,Volume (Int),Abs. Quant.,Rel. Quant.,Band %,Lane %,,,,,,
1,,N/A,0.669307,18757890,N/A,N/A,100,38.668496,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Lane 3,,,,,,,,,,,,,,
Band No.,Band Label,Mol. Wt. (KDa),Relative Front,Volume (Int),Abs. Quant.,Rel. Quant.,Band %,Lane %,,,,time,s%,c%
1,,N/A,0.394059,14530830,N/A,N/A,41.342722,23.5273,c%,s%,,0,9.329847206,90.67015279
2,,N/A,0.667327,20616420,N/A,N/A,58.657278,33.38066,34.26428778,48.61435636,,1,14.96643683,84.91924536
,,,,,,,,,,,,2,18.04417506,74.81817738
Lane 4,,,,,,,,,,,,5,36.00126768,41.29264015
Band No.,Band Label,Mol. Wt. (KDa),Relative Front,Volume (Int),Abs. Quant.,Rel. Quant.,Band %,Lane %,,,,10,53.43077229,25.53170869
1,,N/A,0.394059,11205630,N/A,N/A,39.021396,18.535707,c%,s%,,20,41.29164978,26.42333102
2,,N/A,0.667327,17511000,N/A,N/A,60.978604,28.965686,26.42333102,41.29164978,,50,48.61435636,34.26428778
,,,,,,,,,,,,,,
Lane 5,,,,,,,,,,,,,,
Band No.,Band Label,Mol. Wt. (KDa),Relative Front,Volume (Int),Abs. Quant.,Rel. Quant.,Band %,Lane %,,,,,,
1,,N/A,0.394059,10827510,N/A,N/A,32.333975,18.390731,c%,s%,,,,
2,,N/A,0.667327,22658970,N/A,N/A,67.666025,38.486691,25.53170869,53.43077229,,,,
,,,,,,,,,,,,,,
Lane 6,,,,,,,,,,,,,,
Band No.,Band Label,Mol. Wt. (KDa),Relative Front,Volume (Int),Abs. Quant.,Rel. Quant.,Band %,Lane %,,,,,,
1,,N/A,0.39604,17511420,N/A,N/A,53.422891,30.684935,c%,s%,,,,
2,,N/A,0.667327,15267450,N/A,N/A,46.577109,26.752868,41.29264015,36.00126768,,,,
,,,,,,,,,,,,,,
Lane 7,,,,,,,,,,,,,,
Band No.,Band Label,Mol. Wt. (KDa),Relative Front,Volume (Int),Abs. Quant.,Rel. Quant.,Band %,Lane %,,,,,,
1,,N/A,0.405941,31728960,N/A,N/A,80.568902,47.315647,c%,s%,,,,
2,,N/A,0.665347,7652190,N/A,N/A,19.431098,11.411289,74.81817738,18.04417506,,,,
,,,,,,,,,,,,,,
Lane 8,,,,,,,,,,,,,,
Band No.,Band Label,Mol. Wt. (KDa),Relative Front,Volume (Int),Abs. Quant.,Rel. Quant.,Band %,Lane %,,,,,,
1,,N/A,0.405941,36012630,N/A,N/A,85.016434,51.389711,c%,s%,,,,
2,,N/A,0.665347,6346980,N/A,N/A,14.983566,9.057086,84.91924536,14.96643683,,,,
,,,,,,,,,,,,,,
Lane 9,,,,,,,,,,,,,,
Band No.,Band Label,Mol. Wt. (KDa),Relative Front,Volume (Int),Abs. Quant.,Rel. Quant.,Band %,Lane %,,,,,,
1,,N/A,0.411881,38451480,N/A,N/A,90.670153,59.477816,c%,s%,Total,,,
2,,N/A,0.669307,3956610,N/A,N/A,9.329847,6.120194,90.67015279,9.329847206,42408090,,,
